avgrate,numstores,defrate,pdrad3,pnrad3,totrad3,unrt_zip,medtotinc2010,edbachplus_zip,pop_zip,mdage_zip,pctblk2_zip
517.1400146,19,19.77064133,25,18,44,8.8,24241.44531,28.6,10744,32.9,4.6
517.0900269,19,17.60268211,22,9,34,6.8,33047,24.9,24861,31.9,1.7
505.9200134,19,13.23193932,1,0,1,5.5,49674.77734,35.5,49030,25,0.8
515.289978,19,17.99265671,7,2,9,5.4,51464,37.3,50566,29.9,1.1
520.5999756,19,10.38496017,6,3,10,5.4,39927.10938,25.3,37995,25.6,0.7
521.2700195,19,11.65644169,2,2,5,4.3,35788.33203,35.3,29975,26.8,0.8
509.1099854,19,14.88845825,16,10,22,11.3,26578,23.4,39131,30.8,1.5
517.5200195,19,9.85860157,6,3,11,6,43374.33203,19.7,44310,29.1,1.3
541.9400024,7,25.45000076,7,2,10,5.3,39580.39063,42.8,42384,26.2,0.7
545.1099854,7,17.27000046,5,0,6,6.4,36459.39063,24.8,23703,31,0.7
541.6500244,7,25.96999931,12,1,14,7.6,27066.33398,36.4,44074,24.2,1.1
541.3599854,7,20.25,10,1,12,4,28902.66602,45.9,20109,25.4,1.4
540.9299927,7,23.63999939,15,6,22,5.8,27789.44531,30.8,36666,26.6,1
543.1199951,7,10.10000038,5,3,8,5.4,39927.10938,25.3,37995,25.6,0.7
545.3900146,7,26.44999886,13,8,18,11.3,26578,23.4,39131,30.8,1.5
521.4299927,13,13,13,5,18,6.1,38433.66797,22,62494,27.6,2.8
521.4299927,13,23,16,5,20,5.4,36232.55469,26.7,44625,27.9,2.9
521.4299927,13,19,12,6,18,8.3,33006.89063,15.8,56363,30.2,2
521.4299927,13,18,15,9,23,7.4,31611,30.9,36582,30.7,2.3
521.4299927,13,30.00000191,12,5,19,5.8,27789.44531,30.8,36666,26.6,1
521.4299927,13,18,9,1,10,7.4,44506.27734,46.1,7218,30.5,0.4
521.4299927,13,33,9,8,19,5.2,17068.27734,38.3,32291,23.2,1.1
521.4299927,13,13,10,5,14,6.4,38442.94531,17.6,37444,30,1.9
521.4299927,13,36,22,11,36,6.8,33047,24.9,24861,31.9,1.7
521.4299927,13,37,3,1,4,7.4,31611,30.9,36582,30.7,2.3
521.4299927,13,32,24,20,44,7.1,31289.11133,14.1,68295,29.2,2.2
521.4299927,13,20,6,3,11,5.2,45250.22266,17,25851,28.9,0.7
521.4299927,13,24,5,2,7,5.2,45250.22266,17,25851,28.9,0.7
